stadium,city_state,surface,team_name,team_abbr
Angel Stadium,"Anaheim, California",Grass,Los Angeles Angels,LAA
Busch Stadium,"St. Louis, Missouri",Grass,St. Louis Cardinals,STL
Chase Field,"Phoenix, Arizona",Artificial turf,Arizona Diamondbacks,ARI
Citi Field,"Queens, New York",Grass,New York Mets,NYM
Citizens Bank Park,"Philadelphia, Pennsylvania",Grass,Philadelphia Phillies,PHI
Comerica Park,"Detroit, Michigan",Grass,Detroit Tigers,DET
Coors Field,"Denver, Colorado",Grass,Colorado Rockies,COL
Dodger Stadium,"Los Angeles, California",Grass,Los Angeles Dodgers,LAD
Fenway Park,"Boston, Massachusetts",Grass,Boston Red Sox,BOS
Globe Life Park in Arlington,"Arlington, Texas",Grass,Texas Rangers,TEX
Great American Ball Park,"Cincinnati, Ohio",Grass,Cincinnati Reds,CIN
Guaranteed Rate Field,"Chicago, Illinois",Grass,Chicago White Sox,CWS
Kauffman Stadium,"Kansas City, Missouri",Grass,Kansas City Royals,KC
Marlins Park,"Miami, Florida",Grass,Miami Marlins,MIA
Miller Park,"Milwaukee, Wisconsin",Grass,Milwaukee Brewers,MIL
Minute Maid Park,"Houston, Texas",Grass,Houston Astros,HOU
Nationals Park,"Washington, D.C.",Grass,Washington Nationals,WSH
Oakland Alameda County Coliseum,"Oakland, California",Grass,Oakland Athletics,OAK
Oracle Park,"San Francisco, California",Grass,San Francisco Giants,SF
Oriole Park at Camden Yards,"Baltimore, Maryland",Grass,Baltimore Orioles,BAL
Petco Park,"San Diego, California",Grass,San Diego Padres,SD
PNC Park,"Pittsburgh, Pennsylvania",Grass,Pittsburgh Pirates,PIT
Progressive Field,"Cleveland, Ohio",Grass,Cleveland Indians,CLE
Rogers Centre,"Toronto, Ontario",Artificial turf,Toronto Blue Jays,TOR
SunTrust Park,"Cumberland, Georgia",Grass,Atlanta Braves,ATL
T-Mobile Park,"Seattle, Washington",Grass,Seattle Mariners,SEA
Target Field,"Minneapolis, Minnesota",Grass,Minnesota Twins,MIN
Tropicana Field,"St. Petersburg, Florida",Artificial turf,Tampa Bay Rays,TB
Wrigley Field,"Chicago, Illinois",Grass,Chicago Cubs,CHC
Yankee Stadium,"Bronx, New York",Grass,New York Yankees,NYY